Time	Ipri_tank
0.00199933	-0.618871923
0.001999335	-0.687744574
0.00199934	-0.756377204
0.001999345	-0.824753101
0.00199935	-0.892855439
0.001999355	-0.96066762
0.00199936	-1.028173102
0.001999365	-1.095355515
0.00199937	-1.162198487
0.001999375	-1.22868579
0.00199938	-1.294801393
0.001999385	-1.360529296
0.00199939	-1.425853668
0.001999395	-1.490758791
0.0019994	-1.555229005
0.001999405	-1.619248934
0.00199941	-1.682803259
0.001999415	-1.745876773
0.00199942	-1.808454499
0.001999425	-1.870521487
0.00199943	-1.932063043
0.001999435	-1.993064615
0.00199944	-2.053511793
0.001999445	-2.113390366
0.00199945	-2.17268618
0.001999455	-2.231385395
0.00199946	-2.289474196
0.001999465	-2.346939141
0.00199947	-2.403766757
0.001999475	-2.459943886
0.00199948	-2.51545751
0.001999485	-2.570294868
0.00199949	-2.624443226
0.001999495	-2.677890222
0.0019995	-2.730623549
0.001999505	-2.782631299
0.00199951	-2.833901533
0.001999515	-2.884422656
0.00199952	-2.934183243
0.001999525	-2.983172124
0.00199953	-3.03137827
0.001999535	-3.078790911
0.00199954	-3.125399473
0.001999545	-3.17119364
0.00199955	-3.216163321
0.001999555	-3.260298541
0.00199956	-3.303589722
0.001999565	-3.346027398
0.00199957	-3.387602334
0.001999575	-3.428305632
0.00199958	-3.46812854
0.001999585	-3.507062502
0.00199959	-3.545099304
0.001999595	-3.58223096
0.0019996	-3.618449682
0.001999605	-3.653747854
0.00199961	-3.688118312
0.001999615	-3.721553952
0.00199962	-3.754047981
0.001999625	-3.785593918
0.00199963	-3.816185398
0.001999635	-3.845816451
0.00199964	-3.874481223
0.001999645	-3.902174285
0.00199965	-3.928890237
0.001999655	-3.954624162
0.00199966	-3.979371257
0.001999665	-4.003127003
0.00199967	-4.025887222
0.001999675	-4.047647849
0.00199968	-4.068405218
0.001999685	-4.088155833
0.00199969	-4.106896512
0.001999695	-4.124624269
0.0019997	-4.14133649
0.001999705	-4.157030702
0.00199971	-4.171704774
0.001999715	-4.185356801
0.00199972	-4.197985163
0.001999725	-4.209588468
0.00199973	-4.220165636
0.001999735	-4.229715813
0.00199974	-4.238238375
0.001999745	-4.245733095
0.00199975	-4.252199801
0.001999755	-4.257638778
0.00199976	-4.262050425
0.001999765	-4.265435507
0.00199977	-4.267794992
0.001999775	-4.26913013
0.00199978	-4.269442343
0.001999785	-4.268733534
0.00199979	-4.267005551
0.001999795	-4.264260753
0.0019998	-4.26050164
0.001999805	-4.255731
0.00199981	-4.249951843
0.001999815	-4.243167439
0.00199982	-4.235381311
0.001999825	-4.226597241
0.00199983	-4.216819264
0.001999835	-4.206051642
0.00199984	-4.194298867
0.001999845	-4.181565714
